lambda,ntruth,ncut,acc
0.0,4000000,2389087,0.59727175
0.01,4000000,2390918,0.5977295
0.02,4000000,2390146,0.5975365
0.03,4000000,2391377,0.59784425
0.04,4000000,2393170,0.5982925
0.05,4000000,2392154,0.5980385
0.06,4000000,2391457,0.59786425
0.07,4000000,2395284,0.598821
0.08,4000000,2396161,0.59904025
0.09,4000000,2395697,0.59892425
0.1,4000000,2398683,0.59967075
0.11,4000000,2398261,0.59956525
0.12,4000000,2401324,0.600331
0.13,4000000,2403371,0.60084275
0.14,4000000,2403132,0.600783
0.15,4000000,2406752,0.601688
0.16,4000000,2408067,0.60201675
0.17,4000000,2411333,0.60283325
0.18,4000000,2411934,0.6029835
0.19,4000000,2415435,0.60385875
0.2,4000000,2419002,0.6047505
0.3,4000000,2450257,0.61256425
0.4,4000000,2485778,0.6214445
0.5,4000000,2530650,0.6326625
0.6,4000000,2576200,0.64405
0.7,4000000,2623705,0.65592625
0.8,4000000,2675902,0.6689755
0.9,4000000,2728248,0.682062
1.0,4000000,2781132,0.695283
10.0,4000000,3783099,0.94577475
100.0,3800012,3621857,0.9531172533139369
1000.0,4000000,3813637,0.95340925
