lambda,max_weight,average_weight,remaining_after_triggering
0.0,2350.336,1024.52921164,0.21119716126603505
0.1,2301.051,1065.6508753507014,0.21273649430761835
0.11,2415.564,1074.3632814,0.21307035718731215
0.12,2447.2507,1083.8207762000002,0.2133366875163998
0.13,2496.0996,1094.2436469999998,0.21373994878518693
0.14,2587.6177,1105.4507386773546,0.21410669286859604
0.15,2445.459,1117.6510931726907,0.21442520518521882
0.16,2639.365,1130.827545381526,0.21487314369376764
0.17,2580.3782,1144.7787694,0.21520035313503189
0.18,2767.6245,1159.6493776,0.21570860574421516
0.19,2673.473,1175.4432914,0.21626153146984511
0.2,2756.272,1192.2463571428573,0.21671038992096886
0.3,3261.8289,1415.8941400801607,0.2224136834567454
0.4,4122.5923,1756.302312,0.22946021780505194
0.5,5381.37,2244.4753220440884,0.237284243334445
0.6,6998.76,2923.6179886,0.24566904971379308
0.7,9834.604,3852.3447518,0.25453842686410255
0.8,12517.89,5114.5689464,0.2634959650280364
0.9,16477.098,6817.829518,0.27263914786980825
1.0,22475.123,9101.64936445783,0.28207798965149605
10.0,39647883000.0,10430418108.433735,nan
